"sum(LO_REVENUE)","year","P_BRAND"
12672281651,1992,MFGR#121
13001303186,1992,MFGR#1210
13805417452,1992,MFGR#1211
12776234014,1992,MFGR#1212
13433864328,1992,MFGR#1213
13581771711,1992,MFGR#1214
13053257221,1992,MFGR#1215
13434550494,1992,MFGR#1216
14000667157,1992,MFGR#1217
13682184743,1992,MFGR#1218
12490304616,1992,MFGR#1219
13848761978,1992,MFGR#122
12695654353,1992,MFGR#1220
13943039313,1992,MFGR#1221
12816003837,1992,MFGR#1222
12731556625,1992,MFGR#1223
14196465733,1992,MFGR#1224
13099594674,1992,MFGR#1225
13837724673,1992,MFGR#1226
12835260089,1992,MFGR#1227
14013848875,1992,MFGR#1228
12783094897,1992,MFGR#1229
13190480233,1992,MFGR#123
12758829878,1992,MFGR#1230
13706848098,1992,MFGR#1231
15111172085,1992,MFGR#1232
12788789701,1992,MFGR#1233
12886732429,1992,MFGR#1234
14200745630,1992,MFGR#1235
13699711844,1992,MFGR#1236
13494301997,1992,MFGR#1237
11955509041,1992,MFGR#1238
12522692893,1992,MFGR#1239
13128373576,1992,MFGR#124
13900238799,1992,MFGR#1240
12889269530,1992,MFGR#125
12072098894,1992,MFGR#126
13326968200,1992,MFGR#127
13205227869,1992,MFGR#128
12060639481,1992,MFGR#129
12913064170,1993,MFGR#121
12846153574,1993,MFGR#1210
13319472884,1993,MFGR#1211
12656867131,1993,MFGR#1212
12958664957,1993,MFGR#1213
12996106178,1993,MFGR#1214
13749400474,1993,MFGR#1215
13156279495,1993,MFGR#1216
14133397051,1993,MFGR#1217
13300752041,1993,MFGR#1218
13188526927,1993,MFGR#1219
13669006986,1993,MFGR#122
13151060231,1993,MFGR#1220
13520271743,1993,MFGR#1221
13204649517,1993,MFGR#1222
12611021328,1993,MFGR#1223
13706017203,1993,MFGR#1224
13193613398,1993,MFGR#1225
13364868408,1993,MFGR#1226
12526434796,1993,MFGR#1227
13885781315,1993,MFGR#1228
12645170012,1993,MFGR#1229
12745953219,1993,MFGR#123
12882547721,1993,MFGR#1230
13242258104,1993,MFGR#1231
14625381340,1993,MFGR#1232
13028652414,1993,MFGR#1233
13523711079,1993,MFGR#1234
13980638401,1993,MFGR#1235
13835021719,1993,MFGR#1236
13741524787,1993,MFGR#1237
11844760060,1993,MFGR#1238
12403455915,1993,MFGR#1239
13700145770,1993,MFGR#124
13728834792,1993,MFGR#1240
12732068011,1993,MFGR#125
13033573314,1993,MFGR#126
13878439267,1993,MFGR#127
13234183624,1993,MFGR#128
12216872884,1993,MFGR#129
13015507995,1994,MFGR#121
13415972840,1994,MFGR#1210
13796394107,1994,MFGR#1211
13066189489,1994,MFGR#1212
13171981606,1994,MFGR#1213
13014609731,1994,MFGR#1214
13505619415,1994,MFGR#1215
13154008183,1994,MFGR#1216
13993249029,1994,MFGR#1217
13447685058,1994,MFGR#1218
12786720187,1994,MFGR#1219
13686460859,1994,MFGR#122
12816274355,1994,MFGR#1220
13701914320,1994,MFGR#1221
12973502122,1994,MFGR#1222
12097673606,1994,MFGR#1223
14158613987,1994,MFGR#1224
13367339460,1994,MFGR#1225
13592369907,1994,MFGR#1226
12688300755,1994,MFGR#1227
13929240610,1994,MFGR#1228
12578247606,1994,MFGR#1229
12902018098,1994,MFGR#123
12894203129,1994,MFGR#1230
12881299936,1994,MFGR#1231
14986840428,1994,MFGR#1232
13258835859,1994,MFGR#1233
13282162516,1994,MFGR#1234
13523371719,1994,MFGR#1235
14052867150,1994,MFGR#1236
13824154900,1994,MFGR#1237
11911167126,1994,MFGR#1238
12650040050,1994,MFGR#1239
13372816683,1994,MFGR#124
13874852324,1994,MFGR#1240
13113458783,1994,MFGR#125
12443110357,1994,MFGR#126
13197254501,1994,MFGR#127
13561334546,1994,MFGR#128
12215960647,1994,MFGR#129
12548988553,1995,MFGR#121
13298369956,1995,MFGR#1210
13620817848,1995,MFGR#1211
12610662225,1995,MFGR#1212
13292941078,1995,MFGR#1213
13449826225,1995,MFGR#1214
13210454604,1995,MFGR#1215
13281112431,1995,MFGR#1216
13965326980,1995,MFGR#1217
13456838120,1995,MFGR#1218
12636008879,1995,MFGR#1219
13596382674,1995,MFGR#122
13263424971,1995,MFGR#1220
13880780596,1995,MFGR#1221
13067280967,1995,MFGR#1222
12522080131,1995,MFGR#1223
13648591095,1995,MFGR#1224
13489508329,1995,MFGR#1225
13692206761,1995,MFGR#1226
12819880503,1995,MFGR#1227
14290014609,1995,MFGR#1228
12684929098,1995,MFGR#1229
13107036842,1995,MFGR#123
12456838286,1995,MFGR#1230
13065298087,1995,MFGR#1231
14027053523,1995,MFGR#1232
12626335379,1995,MFGR#1233
12935669993,1995,MFGR#1234
13565017652,1995,MFGR#1235
13373311601,1995,MFGR#1236
14124141780,1995,MFGR#1237
11700287744,1995,MFGR#1238
12414542998,1995,MFGR#1239
13677989398,1995,MFGR#124
13971716794,1995,MFGR#1240
13193092677,1995,MFGR#125
12934183160,1995,MFGR#126
13113323851,1995,MFGR#127
13642471572,1995,MFGR#128
12284711598,1995,MFGR#129
12964290247,1996,MFGR#121
13069002816,1996,MFGR#1210
14394514059,1996,MFGR#1211
12765635985,1996,MFGR#1212
13152629772,1996,MFGR#1213
12874185514,1996,MFGR#1214
13724762331,1996,MFGR#1215
13424153649,1996,MFGR#1216
13945542686,1996,MFGR#1217
13821368995,1996,MFGR#1218
12646017203,1996,MFGR#1219
14000988039,1996,MFGR#122
12997436256,1996,MFGR#1220
13483832998,1996,MFGR#1221
12786027627,1996,MFGR#1222
12246975901,1996,MFGR#1223
14246722137,1996,MFGR#1224
13289035563,1996,MFGR#1225
13471416801,1996,MFGR#1226
12633157628,1996,MFGR#1227
13856331507,1996,MFGR#1228
12380696263,1996,MFGR#1229
12868757234,1996,MFGR#123
12584005428,1996,MFGR#1230
13171910923,1996,MFGR#1231
14770510635,1996,MFGR#1232
12923797345,1996,MFGR#1233
12893178255,1996,MFGR#1234
14348335024,1996,MFGR#1235
13657838112,1996,MFGR#1236
14084638477,1996,MFGR#1237
11883879165,1996,MFGR#1238
12988292013,1996,MFGR#1239
13662170114,1996,MFGR#124
14042075637,1996,MFGR#1240
12971867897,1996,MFGR#125
12691828718,1996,MFGR#126
13418126236,1996,MFGR#127
13561233656,1996,MFGR#128
12402579373,1996,MFGR#129
12623446461,1997,MFGR#121
13032236479,1997,MFGR#1210
13956119522,1997,MFGR#1211
12579772347,1997,MFGR#1212
13165240844,1997,MFGR#1213
13053150144,1997,MFGR#1214
13594352209,1997,MFGR#1215
13434552589,1997,MFGR#1216
14014730316,1997,MFGR#1217
13310005662,1997,MFGR#1218
13292211404,1997,MFGR#1219
13686592704,1997,MFGR#122
