"C_CITY","S_CITY","year","revenue"
UNITED KI1,UNITED KI5,1992,1178335603
UNITED KI1,UNITED KI1,1992,1052597356
UNITED KI5,UNITED KI1,1992,1026260086
UNITED KI5,UNITED KI5,1992,973349994
UNITED KI5,UNITED KI5,1993,1083378728
UNITED KI5,UNITED KI1,1993,1043169947
UNITED KI1,UNITED KI5,1993,965639669
UNITED KI1,UNITED KI1,1993,918452812
UNITED KI5,UNITED KI5,1994,1260730803
UNITED KI1,UNITED KI5,1994,1081071702
UNITED KI1,UNITED KI1,1994,1020245194
UNITED KI5,UNITED KI1,1994,863514969
UNITED KI1,UNITED KI5,1995,1124054660
UNITED KI5,UNITED KI5,1995,1068365947
UNITED KI5,UNITED KI1,1995,1040392678
UNITED KI1,UNITED KI1,1995,1039336005
UNITED KI1,UNITED KI5,1996,1062077548
UNITED KI5,UNITED KI5,1996,958571109
UNITED KI5,UNITED KI1,1996,940597740
UNITED KI1,UNITED KI1,1996,874229030
UNITED KI1,UNITED KI5,1997,1163355766
UNITED KI1,UNITED KI1,1997,982350529
UNITED KI5,UNITED KI5,1997,949314641
UNITED KI5,UNITED KI1,1997,785895247
