"year","S_NATION","P_CATEGORY","profit"
1997,ARGENTINA,MFGR#11,20633150130
1997,ARGENTINA,MFGR#12,20911142211
1997,ARGENTINA,MFGR#13,20751352336
1997,ARGENTINA,MFGR#14,20725587334
1997,ARGENTINA,MFGR#15,20847465627
1997,ARGENTINA,MFGR#21,20249876951
1997,ARGENTINA,MFGR#22,21302749143
1997,ARGENTINA,MFGR#23,20495067091
1997,ARGENTINA,MFGR#24,20640513738
1997,ARGENTINA,MFGR#25,20581166907
1997,BRAZIL,MFGR#11,20336534391
1997,BRAZIL,MFGR#12,19878221181
1997,BRAZIL,MFGR#13,19800437055
1997,BRAZIL,MFGR#14,19931925060
1997,BRAZIL,MFGR#15,19816491706
1997,BRAZIL,MFGR#21,19805847607
1997,BRAZIL,MFGR#22,20195348769
1997,BRAZIL,MFGR#23,20074204925
1997,BRAZIL,MFGR#24,19665389566
1997,BRAZIL,MFGR#25,19802289453
1997,CANADA,MFGR#11,20993920907
1997,CANADA,MFGR#12,20788212732
1997,CANADA,MFGR#13,20582154083
1997,CANADA,MFGR#14,20362070872
1997,CANADA,MFGR#15,21019323130
1997,CANADA,MFGR#21,20628385631
1997,CANADA,MFGR#22,21051367486
1997,CANADA,MFGR#23,21246059063
1997,CANADA,MFGR#24,20899413741
1997,CANADA,MFGR#25,20371722143
1997,PERU,MFGR#11,20123262396
1997,PERU,MFGR#12,20435195199
1997,PERU,MFGR#13,20644146457
1997,PERU,MFGR#14,20792194518
1997,PERU,MFGR#15,20257979054
1997,PERU,MFGR#21,20161248985
1997,PERU,MFGR#22,20485090615
1997,PERU,MFGR#23,20348873210
1997,PERU,MFGR#24,20678352774
1997,PERU,MFGR#25,20765819746
1997,UNITED STATES,MFGR#11,20724850604
1997,UNITED STATES,MFGR#12,20017511699
1997,UNITED STATES,MFGR#13,21016131045
1997,UNITED STATES,MFGR#14,20014491295
1997,UNITED STATES,MFGR#15,20196560991
1997,UNITED STATES,MFGR#21,20531748627
1997,UNITED STATES,MFGR#22,20882575322
1997,UNITED STATES,MFGR#23,21070136590
1997,UNITED STATES,MFGR#24,20257501400
1997,UNITED STATES,MFGR#25,20251954880
1998,ARGENTINA,MFGR#11,12288150848
1998,ARGENTINA,MFGR#12,12150903556
1998,ARGENTINA,MFGR#13,12253619754
1998,ARGENTINA,MFGR#14,11761221854
1998,ARGENTINA,MFGR#15,12044241064
1998,ARGENTINA,MFGR#21,12549693537
1998,ARGENTINA,MFGR#22,12128760181
1998,ARGENTINA,MFGR#23,12047927880
1998,ARGENTINA,MFGR#24,12335758706
1998,ARGENTINA,MFGR#25,11979080219
1998,BRAZIL,MFGR#11,11647118611
1998,BRAZIL,MFGR#12,11765031850
1998,BRAZIL,MFGR#13,11539651912
1998,BRAZIL,MFGR#14,11728424691
1998,BRAZIL,MFGR#15,12047145706
1998,BRAZIL,MFGR#21,11782460918
1998,BRAZIL,MFGR#22,11756056270
1998,BRAZIL,MFGR#23,11547114917
1998,BRAZIL,MFGR#24,12102760874
1998,BRAZIL,MFGR#25,12136894531
1998,CANADA,MFGR#11,12053393754
1998,CANADA,MFGR#12,12283529601
1998,CANADA,MFGR#13,12468524366
1998,CANADA,MFGR#14,12417969344
1998,CANADA,MFGR#15,12783220814
1998,CANADA,MFGR#21,11846843793
1998,CANADA,MFGR#22,12420965086
1998,CANADA,MFGR#23,11510243336
1998,CANADA,MFGR#24,12403564192
1998,CANADA,MFGR#25,12021045203
1998,PERU,MFGR#11,11920946766
1998,PERU,MFGR#12,11722265770
1998,PERU,MFGR#13,11830328247
1998,PERU,MFGR#14,12277764929
1998,PERU,MFGR#15,11685309770
1998,PERU,MFGR#21,11570486758
1998,PERU,MFGR#22,12064845586
1998,PERU,MFGR#23,12029816559
1998,PERU,MFGR#24,11840207053
1998,PERU,MFGR#25,11605382452
1998,UNITED STATES,MFGR#11,12111987890
1998,UNITED STATES,MFGR#12,12153958363
1998,UNITED STATES,MFGR#13,12111547473
1998,UNITED STATES,MFGR#14,12164432343
1998,UNITED STATES,MFGR#15,12163317594
1998,UNITED STATES,MFGR#21,11771585140
1998,UNITED STATES,MFGR#22,12426045879
1998,UNITED STATES,MFGR#23,12062197640
1998,UNITED STATES,MFGR#24,11953726571
1998,UNITED STATES,MFGR#25,12263410706
